,title,category,content
26,브롤스타즈/팁/브롤러 별 티어,브롤스타즈,"브롤스타즈의 브롤러 별 성능과 입지를 주관적으로 정리한 문서이다.브롤스타즈에서는 각기 다른 브롤러를 선택하여 게임에 임하게 된다. 때문에 게임의 밸런스를 위해서는 각 브롤러의 성능이 어느 정도 동등하거나 상성 등이 존재하여 어떤 브롤러든 성능이 일정하게 유지되어야 한다. 그러나 성능이 지나치게 좋거나 떨어지는 브롤러가 존재하여, 강력한 브롤러가 특정 모드 혹은 특별 이벤트를 제외한 대부분의 모드[2]에서 범용성이 높거나 좋은 일반/특수 공격, 스타 파워, 가젯 등을 가져 압도적인 모습을 보여준다. 반대로 성능이 떨어지는 브롤러들의 경우 특정 모드 혹은 모든 모드에서 좋지 못한 모습을 보이며, 높은 난이도, 많은 카운터, 저열한 성능 등의 이유로 인해 픽률이 낮고 해당 브롤러가 있는 팀이 불리해지는 경향이 있다.[3][4]"
27,끝내주게 춤춰라 메이드 인 와리오/자세,메이드 인 와리오 시리즈,"체감형 게임 《끝내주게 춤춰라 메이드 인 와리오》의 ‘자세’(カマエ, Form)에 관한 문서.자세는 2006년작 《춤춰라 메이드 인 와리오》(이하 Wii판)의 ‘조작법’에 해당하는[1], 본작의 플레이 준비 포즈이다. 자세는 각 미니게임이 출현하기 전에 화면에 제시되며, 플레이어는 미니게임의 지령이 나오기 전까지 제시된 자세를 취해야 미니게임을 올바르게 플레이할 수 있다.Wii판과 마찬가지로 자세를 처음 설명해줄 때 더빙 보이스가 나오는데, Wii판이 발음이 서투른 서양인이 말하는 듯한 억양이었다면 본작은 ‘신의 말씀’이라는 컨셉을 잡고 정확한 발음과 근엄한 톤으로 설명해준다.[2] 또한 Wii판에 비해 본작은 외수판에서 설정이 바뀐 자세가 적다.[3] 한국판에서는 강호철이 자세 설명 음성을, 임채빈이 자세 지시 음성을 각각 더빙하였다. 자세 지시 음성의 영어판 성우는 키스 실버스틴.온몸을 사용하므로 주변 공간을 충분히 확보한 뒤 앉지 않고 서 있는 상태로 대기한다. 기본 자세는 양쪽 엄지를 Joy-Con L/R버튼 위에 올리고 나머지 네 손가락으로 레일 부분을 감싸 쥐는 '움켜잡기'(ニギリ持ち(꽉 잡기)/Grip Hold(움켜쥐기))이다.[4] 자세가 제시될 때는 움켜잡기 상태를 유지한 채로 팔을 움직여 포즈를 취하면 된다. '올려놓기', '오른손 동작', '내려놓기'는 움켜잡기를 사용하지 않는다.미니게임이 시작되기 전에는 자세를 취한 뒤 움직이지 않는 상태로 있는 것이 좋다. 게임에서 수시로 자이로 센서를 리셋하기 때문에 이 시점에서 조이콘을 움직여 버리면 기준값이 뒤틀려버려 조작이 제대로 인식되지 않을 수 있다.[5] 항상 정확한 동작을 수행할 수 있는 환경을 조성해둘 것.회장님, 줄다리기처럼 Wii판의 조작법을 그대로 가져온 자세도 있는가 하면, 올려놓기, 내려놓기 같이 Wii판의 조작법에서 이름만 바뀐 자세도 있다.스토리모드 2인 플레이를 지원해서 왼손잡이와 오른손잡이가 함께 플레이하는것도 가능하기 때문에 왼손잡이와 오른손잡이의 자세가 달라지는 동작을 설명할때 왼손과 오른손 대신 주로 쓰는 손과 다른 한 손이라는 단어를 사용한다."
28,이스즈 트라가,이스즈/생산차량2018년 출시트럭,일본의 상용차 제조사인 이스즈에서 동남아시아 시장 공략을 위해 개발한 소형 캡오버형 트럭이다.
29,상무이사,법인회사원의 직급,"상무이사(常務理事, Managing Director) 또는 상무는 법인의 직책 중 하나이다. 평범한 회사라면 부장-이사-상무이사-전무이사식으로 승진할 것이다.상무란 회사의 직무 대행자이자 회사의 임원으로 즉 일반적으로 회사에서 일상 행해져야 하는 사무, 회사가 영업을 계속함에 있어서 통상 행하는 영업 범위 내의 사무 또는 회사 경영에 중요한 영향을 주지 않는 통상의 업무를 하는 사람이다.[1]본래 상무(常務)는 상임(常任)이라는 뜻이고, 전무(專務)는 전임(專任)이라는 뜻이다. 실제로 법률적으로는 여타 상무에 종사하지 않는 이사를 기타비상무이사로 분류한다. 즉, 따지고 보면 이사 중에 상임(상무)이사가 있고, 상임(상무)이사 중에 전임(전무)이사가 있고, 전임(전무)이사 중에 대표이사가 존재하는 식으로, 이사⊃상무⊃전무⊃대표순으로 포괄하는 개념이다.규모가 좀 큰 회사라면 상무갑/상무을/상무보/상무대우[2]/이사/이사보/이사대우 등 갖가지 직급의 임원들과 마주하게 될 것인데, 이는 임원 문서에 더 자세히 서술되어 있다.대기업이라면 이사급, 상무급에서 차량이 지급되기도 하는데, 주로 준대형 세단이 차량으로 제공된다.[3]대기업의 상무이사는 공무원으로 치면 2급, 3급 공무원, 국군의 준장 혹은 소장이랑 대응한다고 할 수 있다.[1] 대법원 2006다62362[2] ""상무보, 상무대우""라고 붙여져 있으면 실제 직급보다 한 단계 낮은 것이다.[3] 상무보 혹은 이사의 경우 중형 세단."
30,감사합니다(드라마),2024년 드라마tvN 토일 드라마스튜디오드래곤공개 예정 드라마,비리가 만연한 JU건설 감사실을 배경으로 냉혈한 감사팀장과 가슴 뜨거운 신입사원의 좌충우돌 콤비 플레이를 담은 오피스 수사 활극2024년 7월 6일부터 〈졸업〉 후속으로 방영 예정인 tvN 토일 드라마.
31,데긴 소도 자비,우주세기/인물,"デギン・ソド・ザビ/Degwin Sodo Zabi[1][2]기동전사 건담의 등장인물. 성우는  나가이 이치로(기동전사 건담),[3] 후지모토 유즈루(극장판 1~2부), 시바타 히데카츠(극장판 3부 & 특별판, 게임판), 우라야마 진(기동전사 건담 THE ORIGIN) /  최석필(해후의 우주 게임판), 민응식(기동전사 건담) /  마크 톰슨(오리진)."
32,우주 거주구,SF 용어유형별 도시,"Space Habitat. 인공의 우주 거주지. '우주 거주구'라는 의미인 Space Habitat는 국내 사전에는 아직 등재되지 않은 단어로, 국어 사전은 우주 식민지만 등재되어 있으며, 영어 사전은 space colony만이 우주 식민지, 우주섬(島)이란 뜻으로 등재되어 있다.우주에 자전하는 구조물을 설치하여, 인공중력을 발생시켜 지구와 유사한 거주 환경을 구현한 식민지로 사용한다는 우주 개척 개념으로, 인공적인 바이오스피어라 할 수 있다. 일반적으로는 스페이스 콜로니(Space Colony)라고 불린다.ISS 처럼 비교적 낮은 궤도에 설치될 수도 있지만, 라그랑주점처럼 중력적으로 안정된 위치에 설치할 수도 있다. 아니면, 타 항성계까지 가기 위한 우주 탐사선의 형태일 수도 있다."
33,어음,순우리말여신(금융)지급결제,"발행하는 사람이 일정한 금전의 지급을 약속하며 발행하는 일종의 지급보증서. 쉽게 말해 외상 증서라 보면 된다. 이 어음을 제때 처리하지 못하게 되면 부도가 나게 된다. 지급을 약속하는 증권을 약속어음이라 하는데, 말 그대로 언제 어디 은행 어디 지점(지급장소/제3자방으로도 부름)에서 얼마를 지급하겠다고 약속하는 어음을 의미한다. 제3자에게 지급을 위탁하는 증권을 환어음이라고 하며 이는 주로 무역거래용으로만 사용되고, 국내에서는 거의 약속어음만 쓰인다. 그런데 문제는 대한민국의 어음법은 환어음이 베이스로 되어 있다는 것.[1] 한국은 어음법 제정 시 거의 환어음만 발행하는 유럽 상인들의 표준적인 상거래 규약을 거의 그대로 입법화한 것이기 때문이다.보통 만기로는 3개월이나 6개월 단위의 단기성이 많다. 어음을 사용하는 이유는 회사 간의 거래에서 거액의 금액이 오고가는데, 당장 해당 금액을 보유하지 않았지만 얼마 뒤에 보유할 가능성이 높은 경우가 자주 일어나기 때문이다. 이런 경우에는 일반적으로는 돈이 생길 때까지 거래를 연기하면 되지만, 실제로는 그렇게 했다간 속된 말로 때를 놓치거나 다른 회사가 접근해서 해당 품목을 사 버리는 문제가 발생하게 된다. 그래서 어음을 발행해서 일단 거래를 성사시킨 후에 해당 어음의 만기일까지 돈을 마련해서 갚는다면 어음을 발행한 사람이나, 어음을 받은 사람이나 양자 모두 만족스러운 결과를 볼 수 있다. 다시 말해 외상을 계약서 쓰고 하는 것. 그리고 어음법을 보면 알겠지만, 어음의 배서가 담보적 효력을 가지므로 채권평등주의를 피할 수 있다.[2](여타 예외도 있다) 물론 이론상으로야 모두 만족해야 하는데, 현실은 전혀 그렇지 않다는 게 문제."
34,최종훈(배우),한국 남배우1979년 출생2000년 데뷔강릉 최씨강릉시 출신 인물대한민국의 남성 유튜버배우 출신 유튜버의무경찰 출신,"MC대격돌 시범맨 시절의 모습푸른거탑 말년 최병장의 모습이런 제엔~장...!! 말년에 OOO라니!!!대한민국의 배우 겸 유튜버이자, 직장인(공업사 직원)이다."
35,D.C.5 ~다 카포 5~,D.C. ~다 카포~ 시리즈2023년 Windows 게임2023년 PlayStation 4 게임2023년 Nintendo Switch 게임전연령 미소녀 게임에로게," 소년은, 운명과 만난다-少年は、運命に出会う-D.C. ~다 카포~ 시리즈 정규 5번째 시리즈를 설명하는 문서이다. 배경은 전작 다카포4와 동일한 카가미 섬. 전작처럼 전연령판으로 먼저 발매된다.2024년 9월 18금판 발매예정"
